category,대출건수합계,평균대출건수
340.99,3311,10.891447368421053
912,3272,17.130890052356023
029.8,3262,13.260162601626016
674.2,3223,27.54700854700855
327.83,3190,37.093023255813954
598.10212,3183,36.58620689655172
517.3,3168,12.82591093117409
338,3167,33.33684210526316
808,3130,13.911111111111111
030,3122,21.832167832167833
737.5,3074,19.2125
388.3,3055,29.95098039215686
409,3013,14.555555555555555
443.1,3004,19.763157894736842
688,2995,12.274590163934427
331.54,2965,13.355855855855856
593.5,2958,15.40625
388.6,2905,50.08620689655172
727.5,2889,14.445
691,2881,23.048
470,2871,17.295180722891565
029,2836,14.03960396039604
189.1,2812,11.815126050420169
491.508,2749,24.114035087719298
331.18,2732,22.95798319327731
730,2700,21.774193548387096
517.52,2693,17.953333333333333
689.3,2680,107.2
182.12,2672,32.58536585365854
370.4,2650,10.433070866141732
331.5,2590,9.885496183206106
004.73,2585,9.434306569343066
844,2584,17.34228187919463
591,2564,26.989473684210527
004.076,2530,36.666666666666664
594.71,2524,15.874213836477987
004,2511,11.413636363636364
842,2510,23.24074074074074
219.12,2485,69.02777777777777
495.2,2459,21.57017543859649
539,2451,9.726190476190476
592.2,2421,46.55769230769231
004.575,2406,11.242990654205608
802.5,2401,17.15
403,2390,28.452380952380953
650.99,2335,19.458333333333332
683,2305,11.24390243902439
813.608,2260,26.904761904761905
990.94,2198,21.134615384615383
843.08,2162,38.607142857142854
340.911,2162,5.7962466487935655
334,2156,15.076923076923077
802.3,2144,20.815533980582526
331.1,2140,15.39568345323741
326.16,2137,25.141176470588235
029.1,2092,10.155339805825243
573.93,2070,27.6
608,2044,11.292817679558011
338.15,2041,32.3968253968254
331,2038,13.148387096774194
224.3,2034,14.027586206896551
327.2,2029,15.8515625
325.24,2025,8.766233766233766
859.3,2020,13.289473684210526
720,2003,15.06015037593985
330,1990,21.630434782608695
737,1989,20.71875
816.7,1986,8.487179487179487
340.4,1976,8.131687242798353
321.329,1973,27.40277777777778
991.2,1961,44.56818181818182
332.2,1937,16.141666666666666
170,1937,25.486842105263158
714,1935,11.656626506024097
321,1925,50.6578947368421
650,1919,15.475806451612904
443,1916,15.704918032786885
510,1916,29.476923076923075
181.4,1913,26.205479452054796
005.138,1907,16.728070175438596
747.4,1902,34.58181818181818
005.2,1895,13.633093525179856
182.1,1892,26.27777777777778
656,1892,31.016393442622952
863.8,1884,62.8
372.68,1883,13.948148148148148
183.2,1878,27.217391304347824
005.11,1864,15.931623931623932
810,1862,14.777777777777779
695.8,1858,24.12987012987013
321.97,1855,10.081521739130435
001.44,1853,61.766666666666666
980.2,1839,18.575757575757574
495,1824,15.2
338.5,1821,37.16326530612245
334.225,1814,42.18604651162791
981.1,1810,13.02158273381295
388,1807,18.07
185.5,1806,18.242424242424242
360,1806,15.982300884955752
511,1805,15.973451327433628
148.3,1800,16.9811320754717
495.21,1798,62.0
808.1,1793,9.744565217391305
594.019,1781,15.222222222222221
375.44,1780,36.326530612244895
331.5412,1766,7.711790393013101
833,1764,46.421052631578945
327,1745,16.941747572815533
234.3,1743,16.289719626168225
670.15,1728,19.415730337078653
512.8,1727,21.860759493670887
651,1709,19.202247191011235
320.9,1705,19.825581395348838
337.2,1703,7.995305164319249
920,1692,16.42718446601942
325.26,1688,15.207207207207206
029.85,1687,30.125
511.4,1684,33.68
005.56,1673,29.875
670,1668,15.588785046728972
695.4,1665,22.80821917808219
636.5,1658,16.58
662,1654,19.458823529411763
598.122,1639,32.78
181.53,1625,18.67816091954023
859.82,1618,17.21276595744681
005.118,1616,17.19148936170213
320.911,1611,8.261538461538462
710,1608,11.652173913043478
594,1607,15.451923076923077
911.06,1605,7.5
165.77,1598,18.367816091954023
593.2,1590,27.894736842105264
911.07,1589,12.91869918699187
592.3,1582,38.58536585365854
329.4,1574,14.710280373831775
414.1,1572,33.4468085106383
892.83,1556,15.56
219.11,1555,27.767857142857142
338.6,1546,21.47222222222222
342.1,1531,13.429824561403509
802.56,1531,13.31304347826087
912.03,1531,16.824175824175825
325.099,1525,14.25233644859813
160,1523,13.72072072072072
199.8,1517,13.544642857142858
741.1,1512,22.90909090909091
517,1501,14.572815533980583
653,1496,12.89655172413793
656.2,1495,48.225806451612904
727,1495,16.797752808988765
490.8,1493,16.96590909090909
331.17,1483,20.887323943661972
653.11,1476,12.098360655737705
691.2,1475,30.729166666666668
813.62,1467,13.098214285714286
379,1460,20.0
340.1,1457,12.243697478991596
598.55,1451,26.381818181818183
981.2402,1445,42.5
450,1442,15.505376344086022
687,1434,16.1123595505618
670.99,1433,17.691358024691358
510.4,1420,11.833333333333334
410.9,1417,24.859649122807017
480,1416,12.421052631578947
235.2,1415,10.968992248062015
370.18,1414,18.85333333333333
476.1,1414,25.25
823.6,1413,40.371428571428574
304,1407,10.578947368421053
005.74,1404,13.371428571428572
331.544,1403,11.889830508474576
005.319,1402,18.44736842105263
652.52,1400,27.45098039215686
809.9,1396,13.96
681,1395,9.177631578947368
